sector,INST_NAME,n_total,oa_share,n_total_sec
Leibniz Association,DIfE - Deutsches Institut für Ernährungsforschung,1537,0.6877033181522446,56620
Leibniz Association,Ferdinand-Braun-Institut für Höchstfrequenztechnik (FBH),552,0.14130434782608695,56620
Leibniz Association,FIZ Chemie - Fachinformationszentrum Chemie GmbH,2,0,56620
Leibniz Association,FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur,14,0.35714285714285715,56620
Leibniz Association,Forschungsgesellschaft für Angewandte Naturwissenschaften e. V. (FGAN),1,0,56620
Leibniz Association,Forschungszentrum Borstel - Leibniz-Zentrum für Medizin und Biowissenschaften (FZB),1081,0.6188714153561518,56620
Leibniz Association,Georg-Eckert-Institut für internationale Schulbuchforschung,38,0.10526315789473684,56620
Leibniz Association,Germanisches Nationalmuseum (GNM),8,0.125,56620
Leibniz Association,GESIS - Leibniz-Institut für Sozialwissenschaften,322,0.35714285714285715,56620
Leibniz Association,Heinrich-Pette-Institut für Experimentelle Virologie und Immunologie an der Universität Hamburg,527,0.7305502846299811,56620
Leibniz Association,Herder-Institut für historische Ostmitteleuropaforschung,13,0,56620
Leibniz Association,Hessische Stiftung Friedens- und Konfliktforschung,69,0.2028985507246377,56620
Leibniz Association,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,1447,0.6572218382861091,56620
Leibniz Association,ILS - Institut für Landes- und Stadtentwicklungsforschung,27,0.1111111111111111,56620
Leibniz Association,INM - Leibniz-Institut für Neue Materialien gGmbH,714,0.3025210084033613,56620
Leibniz Association,Institut für Deutsche Sprache - IDS,101,0.33663366336633666,56620
Leibniz Association,Institut für Weltwirtschaft an der Universität Kiel (IfW),608,0.6019736842105263,56620
Leibniz Association,Institut für Wirtschaftsforschung Halle - IWH,184,0.44021739130434784,56620
Leibniz Association,Institut für Zeitgeschichte (IfZ),38,0.3157894736842105,56620
Leibniz Association,IUF - Leibniz-Institut für Umweltmedizinische Forschung  an der Heinrich-Heine-Universität Düsseldorf gGmbH,516,0.5348837209302325,56620
Leibniz Association,Kiepenheuer-Institut für Sonnenphysik (KIS),349,0.833810888252149,56620
Leibniz Association,Leibniz-Institut für Agrarentwicklung in Mittel- und Osteuropa,327,0.327217125382263,56620
Leibniz Association,Leibniz-Institut für Agrartechnik Potsdam-Bornim e.V.,640,0.234375,56620
Leibniz Association,Leibniz-Institut für Altersforschung - Fritz-Lipmann-Institut e.V. (FLI),751,0.6924101198402131,56620
Leibniz Association,Leibniz-Institut für Analytische Wissenschaften - ISAS - e.V.,660,0.32575757575757575,56620
Leibniz Association,Leibniz-Institut für Angewandte Geophysik,430,0.27209302325581397,56620
Leibniz Association,Leibniz-Institut für Arbeitsforschung an der TU Dortmund (IfADo),771,0.41245136186770426,56620
Leibniz Association,Leibniz-Institut für Arterioskleroseforschung (LIFA),50,0.64,56620
Leibniz Association,Leibniz-Institut für Astrophysik Potsdam,1833,0.9432624113475178,56620
Leibniz Association,Leibniz-Institut für Atmosphärenphysik e.V. an der Universität Rostock (IAP),307,0.5179153094462541,56620
Leibniz Association,Leibniz-Institut für Bildungsverläufe e.V. (LIfBi),22,0.13636363636363635,56620
Leibniz Association,Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik (IPN),226,0.22566371681415928,56620
Leibniz Association,Leibniz-Institut für Europäische Geschichte Mainz (IEG),32,0.15625,56620
Leibniz Association,Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,3899,0.40625801487560914,56620
Leibniz Association,Leibniz-Institut für Gemüse- und Zierpflanzenbau Großbeeren/Erfurt e. V. (IGZ),407,0.3931203931203931,56620
Leibniz Association,Leibniz-Institut für Gewässerökologie und Binnenfischerei,1845,0.46233062330623304,56620
Leibniz Association,Leibniz-Institut für Globale und Regionale Studien (GIGA),303,0.45874587458745875,56620
Leibniz Association,Leibniz-Institut für innovative Mikroelektronik,634,0.27129337539432175,56620
Leibniz Association,Leibniz-Institut für Katalyse e. V. an der Universität Rostock (LIKAT),1958,0.11542390194075587,56620
